PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
E85083,DR SIVANESAN & PARTNER,4552,10270,10050,12490,13824,16821,11789,2969,11114
E85088,ELMBANK SURGERY,3073,9602,8721,10018,17355,16977,12706,4182,9558
E85090,HAMMOND ROAD SURGERY,5323,11539,12252,15822,15111,19526,11128,2265,8971
E85091,BRUNSWICK ROAD MED.CTR.,1644,14672,14144,20044,21059,25360,16107,2880,6747
E85096,MEDICAL CENTRE,8446,12382,14065,17871,19979,19984,8123,2659,7914
E85098,ISLIP MANOR MEDICAL CENTRE,3528,9019,8476,9835,13548,18798,9564,2446,12848
E85099,THE AVENUE SURGERY,2928,17179,16725,18380,27007,21935,16801,6481,8304
E85103,LADY MARGARET ROAD MEDICAL CENTRE,3183,10508,10491,12989,14539,16755,10399,3294,9999
E85105,ALLENBY CLINIC,2176,12280,11017,13369,17118,19269,12671,4163,12162
E85107,THE MILL HILL SURGERY,7347,10607,10042,12398,21546,16393,11109,3849,7548
E85108,MANDEVILLE MEDICAL CENTRE,5353,10176,10258,12323,16994,20425,7117,2817,9750
E85109,THE ACTON HEALTH CENTRE,3324,9799,9177,11338,20980,15888,10876,3729,7404
E85110,"THE SURGERY, DR DAS & PARTNERS",2972,15841,14413,17997,24542,20838,12387,10621,7621
E85111,PERIVALE MEDICAL CLINIC,3245,17113,13991,20149,22982,26120,18242,5900,8702
E85112,ELMTREES SURGERY,5007,20013,19238,23632,21384,28520,17536,5787,9486
E85113,REDWOOD PRACTICE,6207,18839,18660,20735,24042,23720,13648,9087,9629
E85114,CROSSLANDS SURGERY,7305,12754,11532,14535,19487,20082,11609,4350,10677
E85115,PENTELOW PRACTICE,2731,12150,11910,15470,11202,17366,13441,5066,10903
E85116,THE CUCKOO LANE PRACTICE,4568,15276,14042,15279,24492,20345,16871,6569,7866
E85117,COLE PARK SURGERY,3302,12691,12051,14264,19148,16822,11718,5556,11876
E85118,THE FULHAM MEDICAL CENTRE,6925,16266,16263,18893,26650,19500,9770,11232,6459
E85119,THE MWH PRACTICE,6479,11512,11524,14858,16295,18555,10514,3105,10156
E85120,THE ARGYLE SURGERY,8266,16032,15088,16876,25945,21287,16332,6490,8626
E85121,GURU NANAK MEDICAL CENTRE,11303,10618,10271,13266,12833,17388,10374,3801,12013
E85122,THE FLORENCE ROAD SURGERY,15527,17321,17953,21354,26879,22605,12025,6705,7165
E85123,THE CORFTON ROAD SURGERY,5991,18245,18853,21731,27428,24356,14914,5327,7846
E85124,LILLIE ROAD HEALTH CENTRE,2895,10777,9963,11999,21524,11924,10747,8207,7511
E85125,STERNDALE SURGERY,4821,14737,14308,15637,26966,17997,10422,9619,5520
E85126,GREEN PRACTICE,7833,13108,13444,17781,22604,19760,9300,2944,8936
E85127,THE BARNABAS MEDICAL CTRE,9234,16238,14603,19093,18360,25810,15115,4554,12020
E85128,SANDS END HEALTH CLINIC,7984,16640,15476,19103,25250,21877,12380,11103,7179
E85129,THE MANSELL ROAD PRACTICE,5594,15029,13776,16664,18888,21821,13455,5814,10314
E85130,SOUTHFIELD MEDICAL CENTRE (BHATT),3919,16880,15826,18584,26251,21781,14202,7883,8492
E85600,WILLOW PRACTICE,4674,19082,18995,21105,24354,23857,13654,9177,9280
E85605,BRENTFORD GROUP PRACTICE,7141,11534,11493,15835,21348,16890,9434,4953,6915
E85617,ACTON TOWN MEDICAL CENTRE,2881,15542,16044,19324,24868,22505,14383,3729,7436
E85623,SOMERSET MEDICAL CENTRE,2250,12382,11301,13947,16224,18553,13201,4435,11215
E85624,"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W",6624,8977,8513,10934,13844,15455,11386,3358,10321
E85625,CHISWICK FAMILY DRS PRACTICE,3435,19961,19243,22804,28507,23855,13500,9688,8114
E85628,ELTHORNE PARK SURGERY,8518,19986,18736,20080,27901,23471,17407,9952,8722
E85630,WESTERN AVENUE SURGERY,3404,10920,10741,15451,18704,19973,11336,2358,7555
E85633,THE SOUTHALL MEDICAL CTR.,7229,10031,9696,12287,13740,17129,10733,2935,10721
E85635,THE VALE SURGERY,4808,12127,10305,14183,24115,19630,14680,4370,5719
E85636,PARK MEDICAL CENTRE,8831,14375,14028,15677,27885,17088,10883,8917,5779
E85640,THE CHURCHFIELD ROAD SURGERY,3040,11863,11398,13159,22958,17042,11397,4508,6910
E85643,MEADOW VIEW,5382,14794,12746,17109,18439,23909,14002,4117,12896
E85649,FULHAM CROSS MEDICAL CENTRE,2303,15430,15323,17712,24309,17381,13214,8982,7490
E85656,SUNRISE MEDICAL CENTRE,3624,9590,9730,12402,13142,16891,10072,2417,10485
E85657,EALING PARK HEALTH CENTRE,9495,14971,14581,17110,25656,19055,9833,7698,7707
E85658,HOLLY ROAD MEDICAL CENTRE,4260,18437,17859,21270,27060,22828,13158,8554,8075
E85659,"DR RK KUKAR, PARKVIEW CTR FOR H&W",1779,7345,5486,7354,16228,12027,12197,5504,9878
E85663,THE SALUJA CLINIC,9285,9425,9386,12170,13237,16720,9994,2549,10337
E85672,SALISBURY SURGERY,1477,16226,15541,17717,24469,17946,13104,10912,7700
E85673,THE OLD OAK SURGERY,3208,9136,8391,10243,20129,13817,10079,5204,7198
E85677,THE HORN LANE SURGERY,4279,12109,11638,13987,21400,18236,13700,3973,7997
E85680,CLOISTER ROAD SURGERY,8330,13557,13833,19343,20177,21694,14376,2190,8298
E85681,JERSEY PRACTICE,7933,11281,10869,13695,18273,18639,9194,3153,11295
E85682,DORMERS WELLS MEDICAL CENTRE,7082,9850,9330,11433,14759,16756,12886,2811,11355
E85683,GLEBE STREET SURGERY,4413,21055,20457,23116,28503,24439,15159,10921,7879
E85685,THE LILYVILLE SURGERY,8066,22140,22945,25595,27844,23546,13176,14798,6852
E85686,ISLEWORTH CENTRE FOR HEALTH,4420,17497,17984,21860,25924,22678,12379,4650,9686
E85687,ACTON LANE MEDICAL CENTRE,1117,15161,13781,17047,24652,20271,13677,6380,8998
E85692,WELLESLEY ROAD PRACTICE,7252,19640,18629,22636,28898,23964,12160,9045,8300
E85693,GROVE PARK SURGERY,7368,20556,19619,21959,28525,23874,12536,11392,10121
E85694,THE BOILEAU ROAD SURGERY,3454,21265,22196,25915,25901,28101,16818,5078,9685
E85696,CLIFFORD ROAD SURGERY,9210,12561,12004,15890,17417,19487,11843,3363,10692
E85697,GREENBROOK BEDFONT,5194,11843,11727,15256,10833,16625,13627,4842,11926
E85699,GROVE VILLAGE MEDICAL CENTRE,5136,10893,10670,13983,9647,16923,15189,3840,13013
E85700,MANOR HOUSE PRACTICE,2135,12589,12720,16380,12316,17430,13050,4828,11593
E85705,THE BURLINGTON GARDENS SURGERY,1169,10786,10161,12222,21670,16368,11709,3989,7008
E85707,SKYWAYS MEDICAL CENTRE,4500,12780,12382,16409,18817,20336,9796,3734,10425
E85708,GILL MEDICAL PRACTICE,4498,12706,12744,15779,13383,16615,13538,5174,11328
E85712,GOODCARE PRACTICE,5668,8445,7460,9935,14624,16148,9953,1944,12753
E85713,HOUNSLOW FAMILY PRACTICE,3757,13885,14848,19333,22792,20727,8779,3549,8511
E85714,THE PITSHANGER LANE SURGERY,2971,21678,21309,23399,29076,25644,18805,9810,8589
E85715,BROADMEAD SURGERY,4014,7917,7534,10147,14622,16819,7970,1262,12237
E85716,BATH ROAD SURGERY,8789,13000,12832,16992,20430,19463,10626,3352,9809
E85718,HATTON MEDICAL PRACTICE,4750,13843,13709,17723,12780,19940,13530,5246,11210
E85719,ASHVILLE SURGERY,10346,20695,21162,23766,27615,23900,12601,13863,7139
E85721,THE TOWN SURGERY,2465,10324,9966,12940,13723,17068,10447,3353,10910
E85723,NORTHOLT FAMILY PRACTICE,4230,8355,7475,9886,14401,15932,9888,2128,11933
E85724,HIBERNIA HOUSE SURGERY,2658,13355,13187,17829,22261,19099,9171,3380,9723
E85725,THE GROVE MEDICAL PRACTICE,6457,13423,11232,15636,17163,22568,13847,3435,12507
E85726,MATTOCK LANE HEALTH CENTRE,2738,14905,14951,17380,24830,20568,12556,5822,7295
E85727,GREENBROOK CHINCHILLA,3159,10213,8971,12410,14379,17492,14921,2395,13183
E85728,RIBCHESTER MEDICAL CENTRE,1806,13884,11947,16648,20593,22080,14609,4518,9117
E85731,THE FAMILY HEALTH PRACTICE,3031,13484,12210,13605,23496,18738,15223,5592,8218
E85732,GREENBROOK MANOR,2244,10655,10590,14968,20467,15915,8618,4767,6868
E85733,THE NORTHCOTE MEDICAL CENTRE,1724,10368,10431,13203,14185,17483,10231,3011,10258
E85734,QUEENS PARK MEDICAL PRACTICE,5390,12736,12877,16780,13129,17520,13320,4532,11266
E85735,BRENTFORD FAMILY PRACTICE,2779,11589,11487,15733,21306,16872,9112,5020,7208
E85736,LITTLE PARK SURGERY,6069,12058,10558,13186,12624,18314,13270,6400,12167
E85739,GREENBROOK HESTON,5486,12659,11800,15784,19320,20103,9160,3754,10687
E85740,THE LYNWOOD SURGERY,2086,14490,14077,19459,21144,24369,15611,3052,7016
E85743,ST.GEORGES MEDICAL CTR.,3067,11324,10423,12982,15983,17473,11725,4082,11310
E85744,GREENBROOK ISLEWORTH,6014,13910,13752,16164,20665,18458,11387,4776,10671
E85745,JUBILEE GARDENS MEDICAL CENTRE,7539,11179,10389,13065,15344,17155,12267,3785,11102
E85746,GROVE PARK TERRACE SURGERY,3293,18693,17459,19614,28338,22083,10624,11267,9421
E85748,"THE MEDICAL CENTRE, DR KUKAR",6573,10501,9183,11860,22063,16761,10649,5276,6692
E85750,SPRING GROVE MEDICAL PRACTICE,7922,16374,17037,21117,25756,22676,10937,4044,8631
E85755,NORTH HYDE MEDICAL PRACTICE,1469,10470,9588,13374,15075,19340,10261,2691,10382
E86001,MOUNTWOOD SURGERY,11047,24777,22559,23330,28194,25599,23031,11887,24044
E86003,KINGSWAY SURGERY,3910,11222,9919,12631,11649,16640,8794,6933,13997
E86004,WEST DRAYTON MEDICAL CENTRE,9789,10525,11119,14170,11527,15435,7375,7239,12315
E86005,THE OAKLAND MEDICAL CENTRE,6604,21619,20395,21370,21009,22778,16863,12877,16366
E86006,THE DEVONSHIRE LODGE PRACTICE,7543,25399,22973,24505,25911,27373,18163,14496,19686
E86007,HAREFIELD PRACTICE,9471,16761,15812,17201,14661,16272,17914,8598,23783
E86009,BELMONT MEDICAL CENTRE,7064,19119,18634,21112,21396,22052,13978,7788,15862
E86010,YIEWSLEY FAMILY PRACTICE,10697,9590,9788,12781,10879,15388,6718,5990,12794
E86011,OXFORD DRIVE MEDICAL CENTRE,5980,25728,23181,26277,22369,26308,18691,17177,17373
E86012,WOOD LANE MEDICAL CENTRE,11643,26547,24297,26349,25136,26270,19714,16210,17905
E86014,CEDARS MEDICAL CENTRE,4658,25621,23397,25981,23205,26101,18793,16081,16906
E86015,UXBRIDGE HEALTH CENTRE,15895,17821,17914,20249,19788,20669,13592,6717,15182
E86016,THE PINE MEDICAL CENTRE,5661,14519,12899,16137,14678,20556,11008,8133,13256
E86017,HAYES MEDICAL CENTRE,9621,11926,11051,14866,13000,21734,9392,4460,11393
E86018,TOWNFIELD DOCTORS SURGERY,9164,10398,9431,12466,12525,17445,7257,5343,12393
E86019,THE WARREN PRACTICE,7115,11970,10988,14230,13600,18248,8643,5772,13341
E86020,DR K ANANTHA-REDDY'S PRACTICE,4800,10437,9639,12479,12846,18092,6122,4915,14602
E86022,THE ABBOTSBURY PRACTICE,6718,26052,23775,25299,27044,28149,18886,13547,19984
E86024,KING EDWARDS MEDICAL CENTRE,5563,26867,25408,26414,26438,26840,21381,14273,20124
E86026,PARKVIEW SURGERY,5990,12878,11877,13889,13635,18021,9575,7148,13846
E86027,OTTERFIELD MEDICAL CENTRE,6812,9739,10237,13021,10279,15140,6907,6238,13368
E86028,EASTBURY SURGERY,7482,27252,24456,26077,29723,27080,24489,13712,25191
E86029,CEDAR BROOK PRACTICE,10067,14064,12742,15580,13669,19738,10679,7721,14619
E86030,BRUNEL MEDICAL CENTRE,11461,21967,24106,27344,19032,21977,16728,6609,15269
E86033,ST MARTINS MEDICAL CENTRE,5690,26115,24103,25365,25589,25882,20103,14929,19440
E86034,CHURCH ROAD SURGERY,2111,15607,16503,19153,13503,18082,10608,7463,14862
E86036,HILLINGDON HEALTH CENTRE,7327,22833,21673,22207,22240,23818,18397,13006,17300
E86038,GLENDALE HOUSE SURGERY,6292,13328,14544,20275,14382,22612,10698,3719,8677
E86041,ACRE SURGERY,4443,21721,19091,20282,25703,23948,19862,10359,20704
E86042,YIEWSLEY HEALTH CENTRE,6604,10364,10999,13915,11279,15909,7891,5749,12650
E86605,LADYGATE LANE MEDICAL PRACTICE,2119,22689,19896,21002,21804,23644,19028,13521,21337
E86609,NORTH HYDE ROAD SURGERY,3242,11872,11056,14830,12591,21644,10012,4664,10845
E86610,WILLOW TREE SURGERY,3504,11835,10940,14440,14369,19404,8458,3170,17735
E86612,SHAKESPEARE SURGERY,4573,12899,11852,15823,13851,19214,8808,5708,13839
E86615,ACREFIELD SURGERY,2246,20020,17215,21360,20191,25491,16798,9483,14852
E86618,CAREPOINT PRACTICE,5152,21483,18836,20042,25031,23549,19318,10565,20386
E86619,WALLASEY MEDICAL CENTRE,2357,27309,27046,27189,27322,27554,22535,12042,20833
E86620,WEST LONDON MEDICAL CENTRE,4315,13713,13314,14872,15087,17422,9793,6848,15255
E86622,DR PR KANTHAN'S PRACTICE,2974,11842,10896,14605,12252,21167,10179,4618,12120
E86625,KINCORA DOCTORS SURGERY,3240,10421,9538,13008,13488,17343,6847,4921,11925
E86626,QUEENS WALK MEDICAL CENTRE,6457,25143,22774,26488,20972,26537,17797,16823,16335
E86629,DR MLR SIDDIQUI'S PRACTICE,3403,21713,18964,22729,20580,25113,19108,10442,15696
E86632,ACORN MEDICAL CENTRE,6048,18998,17841,19305,18945,20605,14514,11466,15748
E86635,THE EVERGREEN PRACTICE,2593,22178,19386,20613,25934,23660,19755,10951,20877
E86637,HEATHROW MEDICAL CENTRE,3604,12875,13164,17163,13821,20669,10417,4900,11063
E86640,SOUTHCOTE CLINIC,3153,25601,22891,24973,24361,25766,18921,15731,19227
E87002,VICTORIA MEDICAL CENTRE,13428,16587,15334,16907,26520,23084,20347,14411,4385
E87003,NORTH KENSINGTON MEDICAL CENTRE,4761,8129,7522,8519,20975,15858,9924,3791,6149
E87004,THE REDCLIFFE SURGERY,10190,16004,18675,20887,27319,25557,11253,5078,3816
E87005,BELGRAVIA SURGERY,6681,20129,20498,22432,28426,26564,19474,14028,4162
E87006,LITTLE VENICE MEDICAL CENTRE,4738,14240,12512,15228,21924,21352,12728,14314,5841
E87007,WESTBOURNE GROVE MEDICAL CENTRE,7636,13722,14766,17055,27022,24393,6948,7555,4157
E87008,PADDINGTON GREEN HEALTH CENTRE,9126,8939,7695,9359,17240,17387,11753,10532,5535
E87009,THE GARWAY MEDICAL PRACTICE,4322,16008,17345,20544,25809,24601,8618,10171,4281
E87010,MAIDA VALE MEDICAL CENTRE,6772,18533,16580,18675,26171,23857,14440,17254,7638
E87011,LISSON GROVE HEALTH CENTRE,7630,8836,7219,8877,16418,16620,13600,10642,6768
E87013,STANHOPE MEWS SURGERY,9604,21169,27236,28392,30107,30809,15925,5713,3307
E87016,HOLLAND PARK SURGERY,9000,18553,22386,23544,29818,29067,11856,5408,4356
E87017,NORTH WEST LONDON MEDICAL CENTRE,2539,16997,14770,17511,24181,23692,15364,14631,6941
E87021,SHIRLAND ROAD MEDICAL CENTRE,3760,9431,7035,8806,18887,17369,10842,10361,7212
E87024,THE GOLBORNE MEDICAL CENTRE,5031,5557,4396,5505,18361,14361,6603,4085,6781
E87026,MEANWHILE GARDEN MEDICAL CENTRE,2883,6974,5598,6907,19483,15610,7600,5646,6483
E87029,PORTLAND ROAD PRACTICE,7586,14108,16327,17511,26359,24008,10638,4785,5035
E87034,PIMLICO HEALTH AT THE MARVEN SURGERY,14011,14801,12426,14286,25392,21308,20021,13498,4893
E87037,CONNAUGHT SQUARE PRACTICE,6987,17459,20790,22723,24615,27400,7617,12980,3325
E87038,ELGIN CLINIC,4802,9491,6831,8445,20815,16486,10646,11387,6894
E87043,EMPEROR'S GATE CENTRE FOR HEALTH,6111,21245,27368,28423,31060,30721,17072,4881,3390
E87045,COVENT GARDEN MEDICAL CENTRE,2772,11036,11479,11769,24936,18401,11572,11559,2725
E87046,THE RANDOLPH SURGERY,7436,19050,16818,19195,26261,24957,15573,17490,7427
E87047,EARLS COURT MEDICAL CENTRE,5780,12078,13626,15124,26917,21285,11036,3587,4707
E87048,ROSARY GARDEN SURGERY,3183,20322,26074,27408,29748,30033,15150,5493,3430
E87050,THE PRACTICE BEACON,1772,8475,8830,9900,23634,18742,5970,3734,5037
E87052,CROMPTON MEDICAL CENTRE,2938,10348,8654,10733,18704,18248,11773,11730,6025
E87055,THE SURGERY,2339,13520,15122,16779,27640,21482,11491,4987,4858
E87057,NAGARAJAN QUEENS PARK HEALTH CENTRE,3156,8958,7381,9383,17581,18000,10517,6783,7849
E87061,THE PEMBRIDGE VILLAS SURGERY,10120,17371,20817,23286,29177,28367,8681,7895,3440
E87063,KINGS ROAD MEDICAL CENTRE,9720,13733,13759,16919,25354,21012,11489,6598,5242
E87065,THE NOTTING HILL MEDICAL CENTRE,2924,8004,7998,8916,23914,18685,5648,3473,4815
E87066,FITZROVIA MEDICAL CENTRE,7597,16393,17398,20956,22739,23642,17928,11355,3268
E87067,COLVILLE HEALTH CENTRE,6096,8503,8477,9538,23211,18628,7265,3931,5344
E87069,SOHO CENTRE FOR HEALTH AND CARE,2547,13304,16138,16870,26278,21363,9617,10278,1971
E87070,CRAWFORD STREET SURGERY,4079,19360,22269,24122,28836,29387,13173,13350,2569
E87071,THE SURGERY,2508,21381,26806,28372,29026,30115,16408,6507,3826
E87609,ST JOHNS WOOD MEDICAL PRACTICE,12952,23480,22199,26391,24431,30750,19560,15922,6553
E87630,MILNE HOUSE MEDICAL CENTRE,1459,16202,17967,20839,23766,24670,11361,10305,3451
E87637,FLUXMAN HARROW ROAD HEALTH CENTRE,4592,8245,6347,7883,18668,15325,10313,10435,6073
E87648,MAYFAIR MEDICAL CENTRE,2093,21468,25162,26793,27329,29766,16709,13131,2332
E87649,THE SURGERY,2249,20677,25270,26912,30827,29669,15429,5769,4026
E87663,THIRD FLOOR LANARK ROAD MEDICAL CENTRE,2759,14750,13425,16209,22288,22835,13612,11041,6762
E87665,THE CHELSEA PRACTICE,3670,19059,21566,23704,29412,29605,14556,6123,3853
E87670,WEST TWO HEALTH CENTRE,1450,12933,13904,16443,21937,23404,10109,9597,2743
E87677,IMPERIAL COLLEGE HEALTH CENTRE,15489,19874,22630,24238,26484,25543,16820,9091,5749
E87681,NEWTON MEDICAL CENTRE,8638,15317,16067,19156,25050,23551,8578,10503,4686
E87682,BAYSWATER MEDICAL CENTRE,8364,16852,18528,21394,24213,25295,11314,9210,4680
E87691,WESTMINSTER SCHOOL,243,15630,15752,11557,24354,28807,25877,18535,1494
E87694,THE ROYAL MEWS SURGERY,255,24067,27875,31105,27690,32096,23821,15536,1687
E87699,THE COLVILLE HEALTH CENTRE,3075,8680,8729,9814,24157,19240,5829,3986,4819
E87701,THE ABINGDON HEALTH CENTRE,8248,20634,25016,26781,31465,30872,14715,5441,3992
E87702,THE SURGERY,1419,21193,26556,27746,30390,29763,16781,5920,3921
E87705,DR ROSE'S PRACTICE,3380,17899,20997,23422,27439,28065,17635,4602,3338
E87706,THE FORELAND MEDICAL CENTRE,3903,6395,5515,6500,19493,14665,9382,3158,7197
E87711,ROYAL HOSPITAL CHELSEA,296,17498,21139,32369,27822,30972,9714,6004,622
E87714,SOHO SQUARE GENERAL PRACTICE,4048,12234,14947,15202,27036,20680,8486,10202,1622
E87715,SCARSDALE MEDICAL CENTRE,6082,22274,27225,28666,31310,30967,17464,5856,4139
E87717,HARLEY STREET MEDICAL CENTRE,824,13023,13277,16365,21403,20311,12042,5394,7074
E87718,THE SURGERY,3134,17221,20174,22025,28200,27739,15397,4927,3560
E87720,KENSINGTON PARK MEDICAL CENTRE,7255,15399,15296,17313,28402,24785,13286,5294,5706
E87722,LANCASTER GATE MEDICAL CENTRE,3497,19663,23236,26072,27248,27963,9470,9345,4392
E87723,NEW ELGIN PRACTICE,5432,10165,7453,9087,21362,16802,11088,11846,7078
E87727,THE SURGERY,1681,5815,4764,5687,17916,13011,10903,3048,7593
E87733,THE EXMOOR SURGERY,3250,6025,5100,6321,18024,14225,7829,3711,6567
E87735,LAI CHUNG FONG QUEENS PARK HEALTH CENTRE,1414,9347,7251,8944,18803,17941,10879,9205,6609
E87737,MARYLEBONE HEALTH CENTRE,8717,22770,25914,28378,28370,30376,18568,13510,3278
E87738,KNIGHTSBRIDGE MEDICAL CENTRE,8593,22481,30328,31039,29140,31860,16241,7604,2999
E87739,MILLBANK MEDICAL CENTRE,6340,14445,12119,13186,24929,22170,22793,14282,4241
E87740,THE DOCTOR HICKEY SURGERY,1602,14598,14468,11721,24186,25234,23844,16739,2780
E87741,WOODFIELD ROAD MEDICAL CENTRE,3779,9612,6888,8628,20823,16168,11639,11543,6546
E87742,THE GOLBORNE MEDICAL CENTRE,2527,6203,5360,6487,19179,15252,6691,3849,6525
E87745,CAVENDISH HEALTH CENTRE,5668,22653,26499,28463,29140,30318,19476,15205,1908
E87746,BROMPTON MEDICAL CENTRE,2516,14094,16383,17812,26584,23742,11497,4307,4467
E87750,THE SURGERY,1597,12981,14684,16217,26642,21822,10885,4242,4833
E87751,SRIKRISHNAMURTHY HARROW ROAD SURGERY,2273,9014,7166,9131,17756,17632,10651,9001,7273
E87753,DR VICTORIA MUIR'S PRACTICE,6725,16123,16241,18248,26464,23756,17466,11282,3757
E87754,WELLINGTON HEALTH CENTRE,6694,21454,20290,24336,23614,29345,18375,14250,6249
E87755,AHMED N QUEENS PARK HEALTH CENTRE,2298,8574,6237,8023,17948,17437,11104,9151,7659
E87756,GROUND FLOOR LANARK MEDICAL CENTRE,3400,12820,10839,13337,21147,21065,13111,10840,7310
E87762,THE GOOD PRACTICE,3266,13917,15381,17341,26301,24897,10670,5045,4007
E87768,KINGS COLLEGE HEALTH CENTRE,10240,14299,16260,19376,22796,17126,15374,7338,4810
E87772,GREAT CHAPEL STREET MEDICAL CENTRE,474,11867,18789,17384,26193,17605,7890,8903,964
F81001,DR HISCOCK & PARTNERS,11646,24417,22376,21714,13503,24497,22821,21325,27115
F81003,DRS. VERGHESE & KHAN,4028,10650,10065,10146,9406,12183,9592,15625,15249
F81004,THE EDEN SURGERIES,9150,23883,25552,28051,19822,30853,20195,8238,16448
F81005,SHRUB END SURGERY,8446,18040,16629,16259,16311,16028,19962,14402,25080
F81006,CLAYHILL MEDICAL PRACTICE,6637,5969,6166,6871,3767,10737,2746,11766,22706
F81007,"DR PUZEY,DR KOTHARI AND DR NANDA",12277,19054,17474,18707,11480,23122,18346,14776,24952
F81009,THE GOLD STREET SURGERY,9947,26744,25548,26474,25521,29625,25542,13123,22601
F81010,DR LEIGHTON L PRACTICE,11707,10938,10860,12777,6100,16377,7221,13489,17500
F81011,KELVEDON & FEERING HEALTH CENTRE,4925,25492,23551,23072,19005,24003,23477,22799,23562
F81012,WEST MERSEA SURGERY,7682,22242,21546,19883,16493,17807,25492,17087,25715
F81013,WESTERN ROAD SURGERY,10433,27833,27941,27429,23702,27452,22099,15347,26396
F81014,ST. LAWRENCE MEDICAL PRACTICE,15853,17965,17104,16945,11663,19655,17332,16284,23018
F81015,RECTORY PRACTICE,6665,26037,24939,25573,24683,29242,25000,12089,23380
F81016,BARBARA CASTLE HEALTH CENTRE,5115,15004,14281,15711,10669,14751,17726,7769,29281
F81017,WALTON MEDICAL CENTRE,9707,10788,10851,7748,8746,8096,18931,17938,20335
F81018,GREAT CLACTON MEDICAL PRACTICE,7680,7534,7804,5809,4999,5646,13198,20068,21159
F81019,MAYFLOWER MEDICAL CENTRE,17773,10481,10293,10041,7420,9269,12117,22303,14955
F81020,THE FRESHFORD PRACTICE,6798,20394,23492,24212,20118,26795,27597,7000,9051
F81021,THE HOLLIES,8459,14847,17188,14743,13165,10789,19428,12418,14690
F81022,LONGFIELD MEDICAL CENTRE,14323,19810,18997,18191,14751,21401,24686,14213,22189
F81023,BEECHWOOD SURGERY,12197,24051,22834,24526,21589,25281,15925,14197,23422
F81024,DICKENS PLACE,5888,20848,19510,19497,18395,22806,17198,13314,28221
F81025,DR GC CHAJED'S PRACTICE,8572,10726,10939,11033,8120,15254,4238,14321,21929
F81026,CARADOC SURGERY,8028,15618,15213,11572,12454,10644,22620,21439,23275
F81027,LISTER MEDICAL CENTRE,18113,12676,12138,12545,9117,12179,11701,10382,30364
F81028,WIVENHOE SURGERY,8393,27217,24596,24911,24117,24065,26238,19950,23663
F81029,DR DEGUN & DR MACAULAY,5800,14771,13920,14171,10171,17306,10799,14572,23976
F81030,FERN HOUSE SURGERY,16723,18978,17368,17457,13934,18983,16969,19004,24050
F81031,DR M ASLAM'S PRACTICE,7322,7243,7486,8266,3980,11008,5442,12202,21139
F81032,P A PATEL SURGERY,2390,23649,21711,21563,13861,22776,24128,19102,25085
F81033,SWAN LANE SURGERY,2930,21327,21414,21726,12009,25003,16056,13488,24990
F81034,NEWPORT SURGERY,8025,26561,28706,29988,26863,30931,22621,9018,19666
F81035,MOULSHAM LODGE SURGERY,8119,26125,24334,23881,20319,27832,23337,17817,24299
F81036,ROBERT FREW MEDICAL CENTRE,14076,22140,22320,22740,12491,24062,18373,13859,25321
F81037,EAST LYNNE MEDICAL CENTRE,10019,5096,5548,4257,4145,3878,7959,19434,17463
F81038,TILE HOUSE SURGERY,13434,23381,22393,23476,20295,26157,14834,15483,24018
F81040,STOCK SURGERY,3850,20698,24905,26807,22674,30716,15912,3598,12039
F81041,LONDON ROAD SURGERY,9952,20680,21223,21136,11338,22908,16263,13550,24558
F81042,CASTLE GARDENS MEDICAL CENTRE,8565,13858,14240,15667,16649,13851,10494,9904,17748
F81043,THE LIMES MEDICAL CENTRE,18590,20795,19966,21971,15742,25583,13028,16738,18172
F81044,THE ARDLEIGH SURGERY,6916,20361,22927,21210,19669,20375,20000,9385,13380
F81045,DR N DABAS'S PRACTICE,2937,27708,27567,27588,23750,27328,23145,14598,26627
F81046,DR KRISHNAN,4776,19367,17016,17449,12469,18199,20570,19425,25120
F81047,THE HAMILTON PRACTICE,9498,12639,11781,12576,8675,11891,11665,11710,29905
F81048,LOUGHTON HEALTH CENTRE,12286,21243,20858,21915,18212,25718,9885,18384,18834
F81049,ONGAR HEALTH CENTRE,10108,17817,19514,21065,12960,26595,14914,9473,17036
F81051,THIRD AVENUE HEALTH CENTRE,7229,11900,11552,11820,4889,14668,12998,16889,24043
F81052,ST.JAMES SURGERY,14058,6374,7452,5576,5295,4675,9412,17464,16445
F81053,STANSTED SURGERY,8868,26775,25829,26874,23318,30372,21452,17730,20670
F81055,MOUNT AVENUE SURGERY,13760,27112,26528,26625,24243,28747,20005,15375,28549
F81056,OLD HARLOW HEALTH CENTRE,8098,18999,17254,18994,14708,18347,14405,13699,28145
F81057,WHITLEY HOUSE SURGERY,12166,22171,20531,20982,21987,22749,17630,14577,20506
F81060,DR NG NEWPORT'S PRACTICE,4315,8117,8168,8654,4992,11257,5659,14839,19968
F81061,CONNER & PARTNERS,6836,25090,22653,23354,10555,27008,25025,24035,28770
