PRACTICE_CODE,ORG_NAME,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Index of Multiple Deprivation (IMD),Practice_code_weighted_tot_of_Income,Practice_code_weighted_tot_of_Employment,"Practice_code_weighted_tot_of_Education, Skills and Training",Practice_code_weighted_tot_of_Health Deprivation and Disability,Practice_code_weighted_tot_of_Crime,Practice_code_weighted_tot_of_Barriers to Housing and Services,Practice_code_weighted_tot_of_Living Environment
C86020,ST.JOHNS GROUP PRACTICE,9213,9476,10434,8561,9574,7639,8913,22648,12687
C86021,WHITE HOUSE FARM MEDICAL CENTRE,6408,14775,15466,13266,11098,9350,16538,24602,19925
C86022,THE SANDRINGHAM PRACTICE,9226,10928,11355,10083,9483,9402,7660,28540,18944
C86023,BENTLEY SURGERY,7176,7559,7566,6774,6760,7223,6077,28421,14035
C86024,CONISBROUGH GROUP PRACTICE,10204,8419,9411,6791,6785,7098,9412,25428,14696
C86025,FRANCES STREET MEDICAL CENTRE,7422,10163,10771,9205,9857,8783,8550,24763,13589
C86026,EDLINGTON HEALTH CENTRE PRACTICE,4582,7898,8254,6657,5106,6798,9782,27376,17930
C86029,ST VINCENT MEDICAL CENTRE,14946,13896,14327,12003,13452,10812,12070,25648,16217
C86030,THE PHOENIX MEDICAL PRACT,1891,10234,11001,9414,9842,8999,8811,23327,13825
C86032,SCAWSBY HEALTH CENTRE PRACTICE,5906,16563,16350,14268,14679,13126,14657,27874,15990
C86033,THE NAYAR PRACTICE,4509,7420,7791,6301,4707,6535,9407,27362,17741
C86034,THE NEW SURGERY,6807,7338,8374,5698,5350,6586,8529,25783,16368
C86037,FIELD ROAD SURGERY,10503,8711,9750,8088,7780,8670,8430,24364,15232
C86038,PETERSGATE MEDICAL CENTRE,8723,13802,13796,11646,11121,10979,13664,27620,16849
C86039,THE VILLAGE PRACTICE,5440,15288,16028,13783,11341,9434,17022,24889,19798
C86605,ASKERN MEDICAL PRACTICE,8698,7995,9241,6862,5890,7243,9089,23773,17025
C86606,BARNBURGH SURGERY,2406,14940,18991,12617,15733,10517,14674,16560,18431
C86609,AUCKLEY SURGERY,2921,23976,21216,19757,23189,18389,23421,23920,26221
C86611,DUNSVILLE MEDICAL CENTRE,5142,15932,16647,14957,13449,11100,14426,25733,18646
C86613,THE NELSON PRACTICE,3896,17537,17756,15316,15994,12497,16239,26712,17373
C86614,THORNE MOORS MEDICAL PRACTICE,8387,7989,7649,5998,6141,7598,7856,28402,18060
C86616,CHURCH VIEW SURGERY,4244,4668,5652,3800,3826,4098,7594,19198,15775
C86621,WEST END CLINIC,4808,10479,11430,8396,9125,7489,11027,24678,20300
C86623,DR ME SHEIKH'S PRACTICE,1941,6831,6937,6191,5966,6631,5807,27911,14673
C86625,CONISBROUGH MEDICAL PRACTICE,1815,7502,8517,6100,6085,6371,8655,25407,14538
C86626,PARK VIEW SURGERY,2467,20776,21498,18307,20355,13920,17501,25417,17695
C87002,DINNINGTON GROUP PRACTICE,20990,16129,15467,13263,13475,11593,16302,22867,24832
C87003,WOODSTOCK BOWER GROUP PRACTICE,11327,6385,7255,5729,5710,5333,5464,21536,15760
C87004,KIVETON PARK MEDICAL PRACTICE,11310,19777,18034,16292,17509,13851,19844,24573,25064
C87005,ST ANN'S MEDICAL CENTRE,18295,7694,8092,6560,7001,6025,8180,22305,18412
C87006,THE MAGNA GROUP PRACTICE,8887,8338,8430,6169,7043,5986,12399,24204,21668
C87007,STAG MEDICAL CENTRE,11347,19617,19161,16449,19384,12610,20240,24278,21629
C87008,SWALLOWNEST HEALTH CENTRE,16412,18992,18720,16884,15555,14022,14498,24365,25032
C87009,BRINSWORTH MEDICAL CENTRE,7767,14776,14486,12017,11436,11055,16522,26557,18252
C87010,YORK ROAD SURGERY,4751,5089,5364,4467,4681,5464,5746,21055,14981
C87012,BROOM LANE MEDICAL CENTRE,12801,12281,12956,10177,11689,8645,11481,23405,20637
C87013,PARKGATE MEDICAL CENTRE,6237,8629,8832,7180,6471,6449,10351,24769,20720
C87014,TREETON MEDICAL CENTRE,6084,14074,13456,11198,10922,8403,19383,24823,22762
C87015,WICKERSLEY HEALTH CENTRE,7006,18714,18107,15701,18542,11853,19443,22465,22986
C87016,MORTHEN ROAD GROUP PRACTICE,11220,19721,19719,16830,19188,13412,20537,20188,22843
C87017,CLIFTON MEDICAL CENTRE,13170,10928,11060,9303,10634,7807,11198,22656,18727
C87018,HIGH STREET SURGERY,7829,12957,13299,11335,10735,9776,13028,23470,22011
C87020,GREENSIDE SURGERY,5715,8599,9742,7487,8167,6509,8366,22159,20637
C87022,VILLAGE SURGERY,6801,9286,9731,7554,6004,7652,10195,24276,22428
C87023,DALTON HEALTH CENTRE,2021,5031,5576,4061,4494,4037,6833,21669,21413
C87024,RAWMARSH HEALTH CENTRE,3946,8765,8775,7183,6383,6783,10600,25720,21025
C87029,MARKET SURGERY,10640,10725,10702,7957,10146,7783,11173,23842,26010
C87030,CROWN STREET SURGERY,9489,10542,10796,7448,8751,8236,13347,25773,19806
C87031,DR SHRIVASTAVA'S PRACTICE,3268,10972,11702,8635,8208,7579,15162,22759,21532
C87603,GREASBROUGH MEDICAL CENTRE,3318,6575,7483,5363,6046,5015,7067,22039,22139
C87604,THORPE HESLEY SURGERY,5624,14904,15511,13299,13342,11280,15268,21601,21468
C87606,QUEEN'S MEDICAL CENTRE,1543,8330,8760,6571,6087,6287,12674,22083,20981
C87608,SHAKESPEARE ROAD SURGERY,5201,3676,3830,3204,3441,4805,4635,20187,13108
C87609,ROSEHILL MEDICAL CENTRE RCHS,2639,9541,9790,7709,6756,7396,11069,25574,22076
C87610,CANKLOW ROAD SURGERY RCHS,1856,5493,4996,4345,4867,4109,10061,20073,17985
C87612,SURGERY OF LIGHT,1720,15294,15427,12359,15019,9337,19546,21612,21567
C87616,BLYTH ROAD MEDICAL CENTRE,6166,11767,12365,9211,8829,7911,16301,23363,21895
C87617,THRYBERGH MEDICAL CENTRE,1473,4722,5501,3797,4236,3833,6048,22360,21943
C87620,MANOR FIELD SURGERY,6379,10566,11110,8224,7750,7222,15268,22895,21846
C87621,BROOM VALLEY ROAD SURGERY,1799,10002,10157,8023,9877,7326,11053,23415,17110
C87622,THE GATE,1829,3111,3338,2834,3089,4125,4322,20455,11661
C88005,WALKLEY HOUSE MEDICAL CENTRE,10885,19327,19476,19623,17275,15717,15396,21964,17189
C88006,NORFOLK PARK HEALTH CENTRE,3980,4285,5057,5300,2689,4111,7278,8592,17533
C88007,PORTER BROOK MEDICAL CENTRE,28561,12776,19612,22046,13897,13511,10241,8168,5659
C88008,PITSMOOR SURGERY,9043,2760,2997,2964,3841,3675,6583,6996,11128
C88009,FOXHILL MEDICAL CENTRE,6211,6490,7392,6459,4905,7034,5279,13464,16693
C88010,CHAPELGREEN PRACTICE,15934,19632,19830,17916,14708,14579,19876,18405,23918
C88011,BUCHANAN ROAD SURGERY,4969,2526,3089,2623,2042,3505,3742,9197,14921
C88013,WESTFIELD HEALTH CENTRE,1708,10927,11124,9811,7533,10188,11218,15612,24035
C88014,NORWOOD MEDICAL CENTRE,7857,2325,2666,2173,1965,3158,5652,9149,15339
C88015,THE MEADOWHEAD GROUP PRACTICE,7926,15402,15085,13634,16715,11894,13375,18198,21917
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,12101,26088,24558,24058,28717,22516,21975,20225,19607
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),8390,16096,16778,15925,14583,13445,12913,21410,15352
C88019,GLEADLESS MEDICAL CENTRE,8736,4004,4613,4053,3342,5299,4740,8433,18876
C88020,WHITE HOUSE SURGERY,6214,2235,2579,2605,1337,2780,4699,8870,18746
C88021,FAR LANE MEDICAL CENTRE,7864,15526,16143,14526,14437,13809,10990,19766,17064
C88022,STONECROFT MEDICAL CENTRE,4109,15602,16437,14394,10966,12665,15688,18812,19794
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,10335,17889,18238,16543,13457,13133,20958,15597,24170
C88024,AVENUE MEDICAL PRACTICE,8019,21017,20080,18705,22288,15785,17956,21677,22466
C88025,BIRLEY HEALTH CENTRE,8275,15118,15739,13883,9853,12692,17308,17587,21677
C88026,SLOAN MEDICAL CENTRE,12271,15293,14655,14906,16488,12658,14237,19577,13602
C88027,UPWELL STREET SURGERY,4897,3905,4417,4562,3107,4205,11247,8370,8435
C88028,BROOMHILL SURGERY,9134,27085,28128,28047,30737,22972,23800,16846,20771
C88030,DUKE MEDICAL CENTRE,6390,6104,6871,7353,4771,6151,10456,10008,13981
C88031,UPPERTHORPE MEDICAL CENTRE,9908,18615,18736,18933,18655,15990,17879,17063,18508
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,5153,18205,18307,16313,14632,15753,17411,19008,20035
C88033,THE FLOWERS HEALTH CENTRE,4544,4743,4938,4807,3678,4366,8711,11411,16231
C88034,NETHERGREEN SURGERY,9316,29585,29441,28904,31911,25427,25344,22687,20983
C88035,FIRTH PARK SURGERY,9536,2789,2854,2911,2673,4130,6474,9171,13169
C88036,HANDSWORTH MEDICAL PRACTICE,9368,14521,15173,14761,11199,12299,11917,17181,16171
C88037,"BASLOW RD, SHOREHAM ST & YORK RD SRGIES",12059,16667,16611,16990,17312,14019,16499,15532,17852
C88038,THE MATHEWS PRACTICE BELGRAVE,9858,13633,14488,14770,12260,12731,12102,15632,13669
C88039,ECCLESFIELD GROUP PRACT,7561,12079,13051,11571,9543,9984,11629,15351,18621
C88040,OUGHTIBRIDGE SURGERY,5756,20780,22116,19082,20531,18359,17027,14778,21059
C88041,WOODSEATS MEDICAL CENTRE,8756,20836,19055,18964,22246,15495,18979,23501,16864
C88042,PARK HEALTH CENTRE,5361,3833,4306,5044,2994,4334,9066,7349,14485
C88043,TRAMWAYS 54A MC,10490,16472,17500,16367,15592,14176,12095,18948,16614
C88044,MANCHESTER ROAD SURGERY,4452,28639,27889,27525,30124,23915,24462,23440,22252
C88045,DYKES HALL MEDICAL CENTRE,9730,16428,16817,15296,15475,13660,13348,20791,17879
C88046,ABBEY LANE SURGERY,3029,22424,20239,19755,25152,16355,21191,23181,17823
C88047,WINCOBANK MEDICAL CENTRE,7056,9175,9671,8710,6362,7944,13312,16650,15245
C88048,BURNGREAVE SURGERY,6435,2438,2612,2835,3536,3416,7566,6120,12694
C88049,ELM LANE SURGERY,5194,13992,14780,12995,11548,11031,13981,15310,19493
C88050,JAUNTY SPRINGS HEALTH CENTRE,3697,14017,14339,12819,9218,11243,17414,18621,19136
C88051,PAGE HALL MEDICAL CENTRE,7322,2414,2771,3036,2465,5011,5969,6702,7546
C88052,HOLLIES MEDICAL CENTRE,7323,22760,22673,22963,27012,18611,17859,20643,12822
C88053,FALKLAND HOUSE SURGERY,3222,30934,29692,28822,31387,26942,23774,28576,20328
C88054,GRENOSIDE SURGERY,7211,14882,15660,14721,13483,12880,8643,17953,18891
C88057,CROOKES VALLEY MEDICAL CENTRE,2272,10658,12777,13889,12417,8235,11604,9900,12559
C88059,HAROLD STREET MEDICAL CENTRE,1443,8960,9540,9778,7698,7971,9335,14796,15551
C88060,SHARROW LANE MEDICAL CENTRE,3884,12476,12871,14808,14733,12457,12004,13281,8218
C88061,BENTS GREEN SURGERY,2563,31665,31609,30740,32362,28652,24023,23861,24559
C88062,RUSTLINGS ROAD MEDICAL CENTRE,4519,27661,27989,27882,30497,23475,21071,22705,15296
C88068,TOTLEY RISE MEDICAL CENTRE,3135,26730,23756,22851,29778,20934,25340,20866,24947
C88069,CLOVER GROUP PRACTICE,16604,4022,4023,4869,3445,5155,10491,8014,13959
C88070,SHIREGREEN MEDICAL CENTRE,7649,3349,3305,3505,3147,3784,6907,11067,12076
C88072,WOODHOUSE MEDICAL CENTRE,12630,9596,10550,8784,8184,6875,9444,14379,22711
C88073,HEELEY GREEN SURGERY,5293,9740,9852,9930,10992,7696,9031,17309,14247
C88074,DEEPCAR MEDICAL CENTRE,4991,17087,18161,15103,16445,14254,18928,14353,18457
C88076,DEVONSHIRE GREEN MEDICAL CENTRE,6474,9865,16218,18119,12876,8954,9547,4902,6562
C88077,THE HEALTH CARE SURGERY,4877,4328,5111,4602,3521,5031,3812,10836,15314
C88078,MOSBOROUGH HEALTH CENTRE,6523,19736,19832,18459,15646,16803,20006,16262,22935
C88079,CROOKES PRACTICE,7599,24086,24636,26680,24288,17737,19523,20826,13525
C88082,CARRFIELD MEDICAL CENTRE,1212,10279,10441,10478,10355,8524,10406,16037,14548
C88083,SELBORNE ROAD MEDICAL CENTRE,2853,28033,27726,27145,30551,23367,25628,21141,22588
C88084,DARNALL HEALTH CENTRE (MEHROTRA),3372,5555,5973,6325,4102,5887,8252,8724,14913
C88085,RICHMOND MEDICAL CENTRE,8104,8574,9162,8148,6010,7674,9817,14227,18616
C88086,SOUTHEY GREEN MEDICAL CTR,2934,2931,3420,3047,2286,4053,4110,9102,15086
C88087,DOVERCOURT SURGERY,4775,5819,6499,6229,4276,5685,9517,11391,14787
C88088,EAST BANK MEDICAL CENTRE,5105,3778,4080,4054,2297,4224,7506,10885,16879
C88090,MANOR PARK MEDICAL CENTRE,4601,2310,2676,2645,1348,3142,8030,8784,16817
C88091,BARNSLEY ROAD SURGERY,2755,3113,3364,3053,2934,3946,5234,11687,14823
C88092,VALLEY MEDICAL CENTRE,9539,16787,17959,14628,16245,14006,18461,14430,19377
C88095,MILL ROAD SURGERY,5253,18560,19536,17494,15416,14501,16167,18560,19940
C88096,HACKENTHORPE MEDICAL CENTRE,6657,9849,10965,8216,6101,7730,15825,14104,24515
C88622,SHEFFIELD MEDICAL CENTRE,1653,3841,5333,6012,6385,4897,7708,4899,9903
C88626,MANOR TOP MEDICAL CENTRE,1573,9440,9900,9319,6428,7595,11888,15155,17267
C88627,UNIVERSITY HEALTH SERVICE HEALTH CENTRE,28623,17969,26455,27746,21184,17837,17416,5435,10350
C88631,VERITAS HEALTH CENTRE,1416,15808,15083,15691,17513,13779,14928,19323,11713
C88638,MANOR TOP MC (SHARMA),1430,8045,8401,8061,5300,6628,10984,14076,16986
C88643,DUNNINC ROAD SURGERY,3106,4617,4488,4657,3733,4896,7505,13185,13789
C88647,OWLTHORPE MEDICAL CENTRE,3416,20618,21373,18504,15113,15988,24104,14130,26740
C88648,CRYSTAL PEAKS MEDICAL CENTRE,6753,15347,16130,13901,11491,12371,17389,13355,25524
C88652,GREYSTONES MEDICAL CENTRE,3290,29518,28637,28091,30902,24636,22683,28241,15957
C88653,GREENHILL HEALTH CENTRE,1856,9013,8885,7621,9314,7275,10044,15322,22146
C88655,THE MEDICAL CENTRE DR OKORIE,1293,7252,6279,7135,5467,8067,20840,11983,11965
C88656,STANNINGTON MEDICAL CENTRE,2978,21011,20796,19667,20381,18275,16187,19395,22882
D81001,LENSFIELD MEDICAL PRACTICE,10573,22647,25421,26021,26668,25111,19643,14100,7704
D81002,HUNTINGDON ROAD SURGERY,15207,26536,28226,28947,27233,27047,25395,12663,15904
D81003,YORK STREET MEDICAL PRACTICE,9771,20124,22391,24188,22986,22222,15814,15482,6051
D81004,ALCONBURY SURGERY,9208,26644,26135,25226,22523,26849,28427,10064,28053
D81005,NEWNHAM WALK SURGERY,13384,27475,31081,31400,29325,29378,24857,13046,8870
D81006,NORTH STREET,15241,10621,10815,10701,9646,10094,10533,12676,16375
D81007,PARK MEDICAL CENTRE,9039,10499,10821,10921,9704,10300,9797,12954,15210
D81008,NORTH BRINK PRACTICE,19336,8008,10323,8716,4370,8113,13526,10217,12283
D81009,SHELFORD MEDICAL PRACTICE,8485,28104,26750,27631,27645,30223,28080,14409,22838
D81010,PRIORY FIELDS SURGERY,11584,18083,18209,17426,14124,18780,17864,12249,22005
D81011,CLARKSON SURGERY,11121,7883,10109,8507,4041,8160,13555,10501,13144
D81012,CORNFORD HOUSE SURGERY,11155,24270,22595,24238,23906,23414,23356,15740,17961
D81013,TRUMPINGTON STREET MEDICAL PRACTICE,13436,24281,27852,28295,28478,28094,18607,13766,8331
D81014,STAPLOE MEDICAL CENTRE,19719,19255,19717,21314,11290,25441,24319,9196,21569
D81015,PARSON DROVE SURGERY,6154,8639,10837,8572,6410,12229,17890,4624,9010
D81016,ARBURY ROAD SURGERY,11900,15188,14549,15845,15375,16590,12060,13188,13767
D81017,MILL ROAD SURGERY,5636,22014,22510,24229,22874,21018,20486,17419,11282
D81018,"ORCHARD SURGERY,MELBOURN",7505,25594,24850,24413,21504,26731,26623,18295,22940
D81019,MINSTER MEDICAL PRACTICE,4000,11057,11274,11124,10063,10593,10979,12898,16843
D81020,NENE VALLEY MEDICAL PRACTICE,12391,10746,10408,10673,10379,9582,12126,8505,23141
D81021,ST. GEORGE'S MEDICAL CENTRE,10432,15447,15778,16803,7792,19496,22923,9605,21367
D81022,THORNEY MEDICAL PRACTICE,7639,14505,15930,16089,14911,12382,15334,9093,16417
D81023,PASTON HEALTH CENTRE,13594,12001,11779,11390,10591,10646,13386,11902,20994
D81024,THOMAS WALKER,7019,11056,11378,11108,9971,10618,10425,13335,16440
D81025,CHERRY HINTON MEDICAL CENTRE,10307,22013,21426,23018,21482,20591,22481,15710,15888
D81026,LINCOLN ROAD SURGERY,10651,11211,11439,11191,9974,10276,11468,12967,16435
D81027,WELLSIDE SURGERY,7083,24134,23017,22916,16734,24261,20576,19470,26775
D81028,FIRS HOUSE SURGERY,11995,28501,24911,27229,27062,28947,25640,20891,24902
D81029,OLD FLETTON SURGERY,11887,12406,12711,12526,10902,11599,12274,15192,14947
D81030,CROMWELL PLACE SURGERY,10722,26066,23980,23835,22704,26053,21831,18193,26428
D81031,YAXLEY GROUP PRACTICE,15426,22488,19975,19363,15404,23556,20292,23163,25709
D81032,EATON SOCON HEALTH CENTRE,11528,23552,22690,22170,15859,24097,24840,17626,26001
D81033,OVER SURGERY,4860,30331,27413,28940,27543,30784,23528,23676,27559
D81034,ST MARY'S SURGERY,15507,23150,22674,23369,18305,27734,23486,10641,21807
D81035,COMBERTON SURGERY,9271,28230,28543,29289,28916,31785,27744,13812,17073
D81036,PRIORS FIELD SURGERY,5866,24233,22565,22699,16618,26969,26301,18226,22876
D81037,BRIDGE STREET MEDICAL CENTRE,9653,23810,27832,28744,25244,24593,19635,14974,7275
D81038,KIMBOLTON MEDICAL CENTRE,6320,22155,26272,26970,25420,28250,26732,4276,13208
D81039,JENNER HEALTH CENTRE,7851,16324,15530,16064,10432,13880,21897,16152,21991
D81040,CHURCH STREET HEALTH CENTRE,2283,28149,25934,26984,19870,27733,26547,19482,27943
D81041,BOURN SURGERY,5926,26321,27818,29374,28564,31114,26285,6234,16753
D81042,WATERBEACH SURGERY,4522,27179,26162,26344,22300,25864,24821,20185,25675
D81043,SAWSTON MEDICAL PRACTICE,14078,26275,24865,25747,21784,25791,29098,16544,24597
D81044,NUFFIELD ROAD MEDICAL CENTRE,13614,16804,15869,17545,16246,17775,16440,14701,13345
D81045,BUCKDEN SURGERY,8340,26856,26046,25440,21518,28023,27395,16056,24282
D81046,NEW QUEEN STREET SURGERY,16589,15535,15079,15072,10534,13450,19428,15218,21408
D81047,ASHWELL SURGERY,7943,25705,25845,27023,24289,29578,26142,12957,15508
D81048,LINTON HEALTH CENTRE,11459,25999,27091,28494,26156,29747,27161,12197,18280
D81049,SPINNEY SURGERY,10183,25492,24160,23810,20729,25654,20846,18328,25048
D81050,THE HICKS GROUP PRACTICE,13562,22306,21362,20554,18678,22459,22120,14489,22605
D81051,BURWELL SURGERY,8122,25428,24530,24862,22231,26491,26238,13418,23232
D81052,CORNERSTONE PRACTICE,9721,13574,13610,12409,8380,10965,21495,14760,20418
D81053,BRETTON MEDICAL PRACTICE,11909,8056,7994,7540,7148,8275,10826,8608,24324
D81054,RED HOUSE SURGERY,18261,20795,21768,23214,24275,21728,17401,15489,8701
D81055,BOTTISHAM MEDICAL PRACTICE,5750,24632,24508,25317,25982,26348,28983,9798,18345
D81056,PETERSFIELD MEDICAL PRACTICE,6867,23342,25487,26651,27139,24210,18832,16326,7770
D81057,CEDAR HOUSE SURGERY,14479,21131,19558,20277,14311,23165,21797,17253,25088
D81058,HARSTON SURGERY,6531,29245,28084,28923,28323,31028,27684,16564,22424
D81059,RAMSEY HEALTH CENTRE,7012,18559,17947,16839,14286,21863,23270,12855,24505
D81060,MOAT HOUSE SURGERY,6581,21612,21738,21662,16406,24772,21231,12591,23419
D81061,GEORGE CLARE SURGERY,12344,15911,15070,15698,10442,14598,18990,13553,24420
D81062,HADDENHAM SURGERY,7204,23439,23044,22806,14999,29161,26013,15966,14671
D81063,WESTGATE,10671,7828,8301,8675,6660,8363,8299,11396,14232
D81064,MERCHEFORD HOUSE,5964,13739,13752,12517,8486,10983,21635,15010,20655
D81065,WELLAND MEDICAL,4283,6986,7150,7816,4915,8037,9108,10378,14600
D81066,QUEEN EDITH MEDICAL PRACTICE,7195,25633,24747,26795,26319,25042,25401,14437,16749
D81070,WOODLANDS SURGERY,8600,23128,24606,25749,26519,24501,21980,13646,8229
D81071,DODDINGTON MEDICAL CENTRE,4500,17540,17368,16397,12652,13235,22466,19588,20573
D81073,WESTWOOD CLINIC,5077,7120,7633,6946,6437,6800,9012,9778,21634
D81074,NORTHCOTE HOUSE SURGERY,3849,26150,24621,24672,22343,26357,22642,16065,26072
D81078,MAPLE SURGERY BAR HILL HEALTH CENTRE,3641,26790,28937,28502,24208,30297,25744,4563,27400
D81081,GREAT STAUGHTON SURGERY,3072,21708,26465,25625,21517,26538,25100,5440,13612
D81082,ALMOND ROAD SURGERY,7035,20893,19369,19932,14147,23062,21852,18017,24812
D81084,WILLINGHAM MEDICAL PRACTICE,7619,26738,22646,25073,22038,27868,22493,18276,26880
D81085,PAPWORTH SURGERY,6720,25273,24133,23534,26517,25451,28353,11795,21617
D81086,EAST BARNWELL HEALTH CENTRE,6983,11493,13662,14458,9107,13865,15322,4280,11877
D81087,RAINBOW SURGERY,4480,18815,18596,17433,14877,22433,23714,11143,24461
D81602,COTTENHAM SURGERY,3925,25080,19914,24806,24047,28199,25019,19299,21815
D81603,RIVERSIDE PRACTICE,7431,13620,13768,12783,8360,11010,20662,15012,19385
D81605,HUNTLY GROVE,2044,10396,10880,10944,8942,10457,9778,13148,15213
D81606,"ORCHARD SURGERY, ST IVES",4238,25521,24292,24312,19731,25698,20737,17975,25318
D81607,SWAVESEY SURGERY,2745,29743,27594,28211,27550,30928,24439,20287,25959
D81611,MANEA SURGERY,2125,17779,15268,15769,10361,20602,30125,23716,10913
D81612,MILTON SURGERY,4793,25775,23683,24011,24279,27214,25390,19989,20855
D81615,THORPE ROAD,5482,15996,16005,15150,16752,13352,13882,14499,18718
D81616,HODGSON MEDICAL CENTRE,4212,20199,18603,18116,18997,15676,21276,16106,23356
D81618,AILSWORTH MEDICAL CENTRE,2272,21214,23602,23230,22023,18315,19119,7275,20664
D81619,PARKHALL SURGERY,4753,27957,25699,26688,18680,27886,25657,21984,27891
D81620,PARNWELL,1727,9684,9004,10276,6607,9591,14680,10250,17335
D81622,TRINITY SURGERY,11422,6893,9374,7877,3204,7252,11550,10976,12319
D81623,OLD EXCHANGE SURGERY,2879,25835,23839,23783,21656,25826,21927,18327,25953
D81624,DOGSTHORPE MEDICAL CENTRE,4943,5683,6037,6530,4073,7113,6927,11210,13853
D81625,THISTLEMOOR MEDICAL CENTRE,16074,7506,8153,8664,5649,8905,7651,12164,13140
D81629,BUSHFIELD,5366,11971,10936,11494,11551,10371,17068,8089,24816
D81630,HAMPTON HEALTH,8485,19513,17279,20915,18532,12425,16420,18954,22913
D81631,MILLFIELD,11904,6317,7031,7805,4830,7732,6468,11634,11437
D81633,ACORN SURGERY,9272,15957,15441,15794,11103,17269,16883,12252,23901
D81637,MONKFIELD MEDICAL PRACTICE,9790,23977,21405,24489,25208,26031,24124,6874,27639
D81645,THE GRANGE MEDICAL CENTRE,2959,12939,13046,12518,12466,10768,12247,14613,17751
D82001,HOLT MEDICAL PRACTICE,14607,13817,17303,16131,10835,21891,25323,5051,10172
D82002,GROVE SURGERY,13485,12858,15684,15148,4032,15366,16636,11738,24097
D82003,CENTRAL SURGERY,13386,12281,12593,11011,8606,11160,20734,17748,16275
D82004,CROMER GROUP PRACTICE,12900,12629,14103,10427,11281,15263,26745,10204,12135
D82005,SHERINGHAM MEDICAL PRACTICE,9336,17503,17400,14383,14259,19392,30079,13137,16939
D82006,CHET VALLEY MEDICAL PRACTICE,8177,18730,19181,17922,16323,22839,24862,10489,16049
D82007,NEWTOWN AND CAISTER MEDICAL PRACTICE,12238,9436,10174,8089,6206,8922,18854,17900,12925
D82008,ST STEPHEN'S GATE M/PRACT,12694,14419,15043,15652,16862,11657,15228,22213,10261
D82009,STALHAM STAITHE SURGERY,7446,11149,15221,13121,8975,17995,27198,6940,5100
D82010,GRIMSTON MEDICAL CENTRE,4827,14137,17943,15318,13194,12170,25872,7260,7905
D82011,CASTLE PARTNERSHIP,16683,14251,14414,14790,14781,11987,15469,21902,13594
D82012,MAGDALEN MEDICAL PRACTICE,13033,14395,14587,13672,11141,14749,14785,23067,13954
D82013,OLD CATTON MEDICAL PRACTICE,7685,23136,20861,20250,13964,22620,26040,22163,26410
D82015,BRIDGE STREET SURGERY,8691,14273,15863,14250,9710,12180,25278,11224,18133
D82016,MARKET SURGERY,8598,17948,20033,17981,15820,24296,25264,5949,15286
D82017,TRINITY & BOWTHORPE MEDICAL PRACTICE,10213,13071,12914,14727,12405,9632,17633,14897,19411
D82018,HELLESDON MEDICAL PRACTICE,9831,22763,20789,17494,14504,23433,25824,23402,25531
D82019,MILLWOOD SURGERY,9749,15655,16134,13927,10161,12544,24514,17103,19492
D82020,ORCHARD SURGERY,10522,15834,15231,14318,9638,18670,19886,13788,23525
D82022,LAWNS PRACTICE,6845,16925,17266,15916,13105,22531,19537,11966,17616
D82023,ROUNDWELL MEDICAL CENTRE,12244,20881,18653,19371,14276,22751,20596,17504,25659
D82024,TAVERHAM PARTNERSHIP,8736,25871,24144,23278,18633,26332,29206,15771,29542
D82025,HOVETON & WROXHAM MEDICAL CENTRE,8435,17295,19751,15258,12739,22463,28571,6049,18823
D82026,LAKENHAM SURGERY,8626,11591,11652,11501,12253,9371,16289,20200,12742
D82027,HEACHAM GROUP PRACTICE,7866,16003,16771,13823,9800,10034,27470,19998,21835
D82028,LUDHAM AND STALHAM GREEN SURGERIES,5474,13402,16072,14034,8753,17730,29000,9317,6416
D82029,DRAYTON & ST FAITHS MEDICAL PRACTICE,17521,23206,22116,20838,15902,26018,28586,14285,26276
D82030,REEPHAM & AYLSHAM MEDICAL PRACTICE,9133,18947,20512,19996,17742,25932,26076,6149,12014
D82031,PARISH FIELDS PRACTICE,7740,17044,17273,15858,12898,22376,19291,12454,18255
D82032,BRUNDALL MEDICAL PARTNERSHIP,7959,24844,22864,22046,20208,25996,29562,16289,24140
D82034,ATTLEBOROUGH SURGERY,17365,19961,20010,20379,12427,21387,28755,12390,20766
D82035,UPWELL HEALTH CENTRE,9659,9927,11394,10334,5821,10532,22611,10920,8690
D82036,OLD MILL AND MILLGATES MEDICAL PRACTICE,7067,24340,24479,24542,21847,26746,28426,12272,16602
D82037,LONG STRATTON MEDICAL PARTNERSHIP,11215,22119,21902,22646,18817,26169,29429,11648,12919
D82038,WELLS HEALTH CENTRE,2954,13176,15243,14904,8663,19577,22667,11196,7006
D82039,MATTISHALL SURGERY,8279,18751,20265,22274,14816,24345,26975,9060,10382
D82040,WENSUM VALLEY MEDICAL PRACTICE,12444,6268,5960,7392,5063,6426,9316,17721,14347
D82041,SCHOOL LANE SURGERY,11671,12554,15243,14644,3936,15113,16210,11632,24489
D82042,E HARLING & KENNINGHALL MEDICAL PRACTICE,7683,18370,22864,21218,13717,24963,27116,10440,6700
